starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 16 18:46:42 2016	1466092002	27	2358	2385	2358
Thu Jun 16 18:46:42 2016	1466092002	30	2356	2386	2353
Thu Jun 16 18:46:42 2016	1466092002	30	2356	2387	2354
Thu Jun 16 18:46:42 2016	1466092002	23	2365	2388	2363
Thu Jun 16 18:46:42 2016	1466092002	26	2367	2393	2360
Thu Jun 16 18:46:42 2016	1466092002	27	2375	2401	2360
Thu Jun 16 18:46:42 2016	1466092002	26	2431	2457	2365
Thu Jun 16 18:46:42 2016	1466092002	27	2432	2458	2365
Thu Jun 16 18:46:42 2016	1466092002	27	2432	2459	2366
Thu Jun 16 18:46:42 2016	1466092002	27	2433	2460	2366
Thu Jun 16 18:46:42 2016	1466092002	27	2436	2463	2375
Thu Jun 16 18:46:42 2016	1466092002	1060	1425	2485	1424
Thu Jun 16 18:46:42 2016	1466092002	1060	1501	2560	1500
Thu Jun 16 18:46:42 2016	1466092002	1061	1500	2561	1500
Thu Jun 16 18:46:42 2016	1466092002	1060	1503	2563	1501
Thu Jun 16 18:46:42 2016	1466092002	1061	1503	2564	1501
Thu Jun 16 18:46:42 2016	1466092002	1061	1504	2564	1501
Thu Jun 16 18:46:42 2016	1466092002	1060	1966	3026	1966
Thu Jun 16 18:46:42 2016	1466092002	1060	1966	3026	1966
Thu Jun 16 18:46:42 2016	1466092002	1060	1966	3026	1966
Thu Jun 16 18:46:42 2016	1466092002	1059	1967	3026	1967
Thu Jun 16 18:46:42 2016	1466092002	1060	1966	3026	1966
Thu Jun 16 18:46:42 2016	1466092002	1026	2000	3026	2000
Thu Jun 16 18:46:42 2016	1466092002	1060	1967	3027	1967
Thu Jun 16 18:46:42 2016	1466092002	27	3002	3029	3002
Thu Jun 16 18:46:42 2016	1466092002	27	3002	3029	2375
Thu Jun 16 18:46:42 2016	1466092002	1026	2003	3029	2003
Thu Jun 16 18:46:42 2016	1466092002	1027	2017	3044	2017
Thu Jun 16 18:46:42 2016	1466092002	30	3015	3045	3015
Thu Jun 16 18:46:42 2016	1466092002	31	3015	3045	2369
Thu Jun 16 18:46:42 2016	1466092002	30	3034	3065	3034
Thu Jun 16 18:46:42 2016	1466092002	30	3035	3065	3034
Thu Jun 16 18:46:42 2016	1466092002	31	3072	3102	2414
Thu Jun 16 18:46:42 2016	1466092002	31	3093	3124	2416
Thu Jun 16 18:46:42 2016	1466092002	27	3098	3125	2421
Thu Jun 16 18:46:42 2016	1466092002	27	3099	3126	2423
Thu Jun 16 18:46:42 2016	1466092002	27	3100	3126	2423
Thu Jun 16 18:46:42 2016	1466092002	31	3096	3127	3096
Thu Jun 16 18:46:42 2016	1466092002	31	3098	3129	2413
Thu Jun 16 18:46:42 2016	1466092002	27	3512	3538	3511
Thu Jun 16 18:46:42 2016	1466092002	26	3512	3539	3511
Thu Jun 16 18:46:42 2016	1466092002	27	3515	3541	3512
Thu Jun 16 18:46:42 2016	1466092002	27	3544	3570	3513
Thu Jun 16 18:46:42 2016	1466092002	27	3546	3572	3514
Thu Jun 16 18:46:42 2016	1466092002	23	3552	3576	3518
Thu Jun 16 18:46:42 2016	1466092002	30	3565	3595	3535
Thu Jun 16 18:46:42 2016	1466092002	30	3597	3627	3564
Thu Jun 16 18:46:42 2016	1466092002	30	3605	3636	3569
Thu Jun 16 18:46:42 2016	1466092002	1060	3343	4403	3343
Thu Jun 16 18:46:42 2016	1466092002	1060	3344	4403	3343
Thu Jun 16 18:46:42 2016	1466092002	1060	3344	4403	3344
Thu Jun 16 18:46:42 2016	1466092002	1060	3344	4404	3343
Thu Jun 16 18:46:42 2016	1466092002	1061	3343	4404	3343
Thu Jun 16 18:46:42 2016	1466092002	1060	3344	4404	3343
Thu Jun 16 18:46:42 2016	1466092002	1025	3379	4404	3379
Thu Jun 16 18:46:42 2016	1466092002	1027	3377	4404	2547
Thu Jun 16 18:46:42 2016	1466092002	1061	3343	4404	3343
Thu Jun 16 18:46:42 2016	1466092002	1027	3377	4404	3377
Thu Jun 16 18:46:42 2016	1466092002	1027	3377	4404	3377
Thu Jun 16 18:46:42 2016	1466092002	1061	3343	4404	3343
Thu Jun 16 18:46:42 2016	1466092002	30	4374	4404	4374
Thu Jun 16 18:46:42 2016	1466092002	30	4374	4405	4374
Thu Jun 16 18:46:42 2016	1466092002	26	4379	4405	3540
Thu Jun 16 18:46:42 2016	1466092002	27	4379	4406	3542
Thu Jun 16 18:46:42 2016	1466092002	27	4379	4406	3542
Thu Jun 16 18:46:42 2016	1466092002	26	4379	4406	2424
Thu Jun 16 18:46:42 2016	1466092002	30	4375	4406	4375
Thu Jun 16 18:46:42 2016	1466092002	27	4379	4406	3543
Thu Jun 16 18:46:42 2016	1466092002	27	4379	4406	2431
Thu Jun 16 18:46:42 2016	1466092002	27	4380	4406	3544
Thu Jun 16 18:46:42 2016	1466092002	27	4380	4406	3545
Thu Jun 16 18:46:42 2016	1466092002	27	4380	4407	2432
Thu Jun 16 18:46:42 2016	1466092002	31	4394	4425	4394
Thu Jun 16 18:46:42 2016	1466092002	31	4395	4425	2407
Thu Jun 16 18:46:42 2016	1466092002	31	4395	4425	4395
Thu Jun 16 18:46:42 2016	1466092002	31	4395	4426	4395
Thu Jun 16 18:46:42 2016	1466092002	31	4396	4426	4396
Thu Jun 16 18:46:42 2016	1466092002	1026	4374	5400	4374
Thu Jun 16 18:46:42 2016	1466092002	1059	4341	5400	4341
Thu Jun 16 18:46:42 2016	1466092002	1060	4341	5401	4341
Thu Jun 16 18:46:42 2016	1466092002	1060	4341	5401	4340
Thu Jun 16 18:46:42 2016	1466092002	1060	4341	5401	4340
Thu Jun 16 18:46:42 2016	1466092002	1027	4374	5401	2546
Thu Jun 16 18:46:42 2016	1466092002	31	5371	5402	3567
Thu Jun 16 18:46:42 2016	1466092002	31	5371	5402	3565
Thu Jun 16 18:46:42 2016	1466092002	31	5372	5402	3568
Thu Jun 16 18:46:42 2016	1466092002	26	5376	5402	3541
Thu Jun 16 18:46:42 2016	1466092002	27	5376	5402	3573
Thu Jun 16 18:46:42 2016	1466092002	1060	4356	5416	4355
Thu Jun 16 18:46:42 2016	1466092002	1027	4389	5416	2599
Thu Jun 16 18:46:42 2016	1466092002	30	5386	5417	3564
Thu Jun 16 18:46:42 2016	1466092002	27	5391	5418	3600
Thu Jun 16 18:46:42 2016	1466092002	26	5391	5418	3597
Thu Jun 16 18:46:42 2016	1466092002	30	5418	5448	3564
Thu Jun 16 18:46:42 2016	1466092002	30	5450	5481	3567
Thu Jun 16 18:46:42 2016	1466092002	31	5453	5483	3544
Thu Jun 16 18:46:42 2016	1466092002	31	5472	5502	5472
Thu Jun 16 18:46:42 2016	1466092002	31	5473	5504	5473
Thu Jun 16 18:46:42 2016	1466092002	31	5473	5504	5473
Thu Jun 16 18:46:42 2016	1466092002	1027	5604	6631	1434
